#Split in new
chr1	1571125	1588935	CDK11B	0.72829443952872	.
#Split in new
chr1	13035542	13038381	PRAMEF22	0.617146896404532	.
#Split in new
chr1	145293405	145368684	NBPF10	2.80946400390907e-13	.
#Split in new
chr1	144339777	144520832	AL592284.1	0.336126600836845	.
#Split in new
chr1	146395341	146466121	NBPF12	0.210636207445938	.
#Split in new
chr1	148577649	148594640	NBPF15	0.123939063679527	.
#Split in new
chr1	148739734	148756684	NBPF16	0.0907606604548231	.
#Split in new
chr1	148251874	148346756	NBPF20	0.000445919208521471	.
#Split in new
chr1	223715198	223853348	CAPN8	0.0151809363825236	.
#Partially deleted in new
chr2	109745996	110259248	SH3RF3	0.981100871728341	.
#Partially deleted in new
chr2	149633186	149868190	KIF5C	0.999515597151875	.
#Partially deleted in new
chr2	172779010	172848266	HAT1	0.839884792256617	.
#Partially deleted in new
chr2	233925188	234115354	INPP5D	0.167430840933568	.
#Partially deleted in new
chr7	193199	299946	FAM20C	0.587993382102887	.
#Partially deleted in new
chr7	50358657	50468325	IKZF1	0.985751324145976	.
#Split in new
chr7	72209525	72298654	TYW1B	8.1161283885492e-09	.
#Partially deleted in new
chr7	74457139	74489573	WBSCR16	0.000647047934647949	.
#Partially deleted in new
chr7	139257672	139477422	HIPK2	0.998346420156677	.
#Partially deleted in new
chr7	153749905	154684190	DPP6	0.96769110706309	.
#Split in new
chr8	145486119	145515052	BOP1	0.526839488528947	.
#Split in new
chr8	145597784	145618289	ADCK5	0.908275225235627	.
#Split in new
chr9	69204962	69262487	CBWD6	0.26744134859198	.
#Split in new
chr10	18098454	18199394	MRC1	0.975871402342468	.
#Split in new
chr10	47894022	47948853	FAM21B	0.896400747509227	.
#Partially deleted in new
chr10	128594086	129249691	DOCK1	0.36842317046063	.
#Partially deleted in new
chr12	122516759	122626359	MLXIP	0.975747589022912	.
#Partially deleted in new
chr13	114321701	114438336	GRK1	0.00915421207464947	.
#Split in new
chr15	23406270	23414102	RP11-467N20.5	0.398578851671092	.
#Split in new
chr15	82635129	82641606	GOLGA6L10	0.368958940189802	.
#Split in new
chr17	34581399	34590454	TBC1D3C	0.425665089216628	.
#Split in new
chr17	34493374	34502410	TBC1D3B	0.636923622994015	.
#Split in new
chr19	54800045	54804173	LILRA3	0.00292535056682856	.
#Split in new
chr19	54720961	54726848	LILRB3	0.0277606853655411	.
#Split in new
chrX	1314889	1331527	CRLF2	0.00278020670397447	.
#Split in new
chrX	49208271	49214326	GAGE2D	0.402977937434793	.
#Split in new
chrX	49179672	49185772	GAGE12J	0.0235889056454509	.
#Split in new
chrX	134946156	134950246	CT45A5	9.3941919310411e-06	.
#Split in new
chrX	140335649	140336590	SPANXC	0.000589679869220244	.
